id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40151,Sunny flat aux Chartrons,165163,Cédric,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85653,-0.5746,Entire home/apt,71,3,30,2016-07-29,0.28,2,201
185534,L'Echoppe des Bouilles,890736,Carlos,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.83063,-0.59331,Private room,75,1,0,,,1,365
218103,B&B (Website hidden by Airbnb) tropical garden,1127981,Luis,Bgles,Bgles,44.81418,-0.54842,Private room,100,2,25,2018-10-15,0.27,4,355
222887,"Bordeaux Terrace - spectacular view, sleeps 2 - 4",1156398,Suzanna,Bordeaux,Bordeaux Sud,44.83635,-0.5659,Entire home/apt,155,3,34,2019-04-28,0.38,4,112
317273,"Bordeaux City Gardens - large 1 bd, park adjacent",1156398,Suzanna,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.84734,-0.58034,Entire home/apt,130,3,18,2019-05-14,0.31,4,144
317658,"Key to Bordeaux - fairytale view, 2 bd + elevator",1156398,Suzanna,Bordeaux,Centre ville (Bordeaux),44.83815,-0.56989,Entire home/apt,150,3,90,2019-05-21,1.05,4,0
333031,STUDIO BORDEAUX TRIANGLE D OR *****,1697156,Antony,Bordeaux,Centre ville (Bordeaux),44.84267,-0.57656,Entire home/apt,75,1,236,2019-05-01,2.71,2,331
333592,Charming apt with terrace center town + parking,1699300,Alexandre,Bordeaux,Centre ville (Bordeaux),44.84701,-0.58249,Entire home/apt,125,2,27,2019-02-20,0.33,3,45
365993,Modern&comfortable 3 rooms apart,1847986,Damien,Bordeaux,Bordeaux Sud,44.81267,-0.55762,Entire home/apt,85,3,26,2019-01-11,0.31,2,280
403245,Charming Apt in City Center + Patio,2011519,Antoine & Rose,Bordeaux,Bordeaux Sud,44.83385,-0.57033,Entire home/apt,59,2,302,2018-09-26,3.50,1,196
408270,B&B Bedroom N°2  / tropical garden,1127981,Luis,Bgles,Bgles,44.81412,-0.54641,Private room,85,2,94,2019-05-18,1.11,4,0
410267,B&B Apart. N°3 / Tropical Garden,1127981,Luis,Bgles,Bgles,44.81494,-0.54799,Private room,85,2,26,2018-08-15,0.30,4,363
412475,B&B Apart n°4 / Tropical Garden,1127981,Luis,Bgles,Bgles,44.81428,-0.54875,Private room,85,2,34,2018-09-23,0.41,4,356
437127,Om Sweet Home B&B  chambre double,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85636,-0.58518,Private room,45,2,271,2019-01-01,3.23,2,314
438600,Om Sweet Home B&B  chambre Single,2171100,Christophe,Bordeaux,Chartrons - Grand Parc - Jardin Public,44.85575,-0.5824,Private room,30,2,162,2019-05-05,1.91,2,311
450324,"House with garden, near Bordeaux",1727412,Anne-Laure,Cenon,Plaisance-Loret-Maregue,44.86238,-0.50698,Entire home/apt,78,3,13,2016-08-23,0.16,1,0
457462,"BORDEAUX, swimming-pool, tennis !",2273643,Nadine,Talence,Talence,44.80935,-0.59991,Entire home/apt,75,4,15,2018-08-08,0.18,1,206
457640,Appartement piscine tennis Bordeaux,2274580,Christine,Talence,Talence,44.80907,-0.60034,Entire home/apt,80,2,52,2018-12-27,0.63,1,224
458580,Charm and authenticity,2280426,Romain Et Pascale,Bordeaux,Bordeaux Sud,44.83424,-0.57022,Entire home/apt,32,28,158,2019-05-01,1.85,3,233
478369,Charming house center Bordeaux,2368861,Maia And Johann,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82968,-0.59534,Entire home/apt,114,5,9,2018-08-02,0.12,1,0
482102,Beautiful city house full comfort,2387430,Frederic,Le Bouscat,Le Bouscat,44.85446,-0.59562,Entire home/apt,185,2,215,2019-05-12,2.58,1,256
500193,Bordeaux centre T3 60m2 avec jardin,2468244,Audrey,Bordeaux,Bordeaux Sud,44.83118,-0.5628,Entire home/apt,80,2,152,2019-05-14,1.87,2,271
536436,Studio standing en centre ville,2635398,Jade,Bordeaux,Centre ville (Bordeaux),44.83911,-0.57311,Entire home/apt,80,2,5,2016-06-30,0.07,1,0
543460,Chambre Elegante,2671260,Claire,Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux,44.82761,-0.59472,Private room,110,1,0,,,3,0
